Samples	Type	Group1	Group2	Group3	Group4
MONO_PreG_d1	MONO_HD	B	B	B	B
MONO_PreG_d11	MONO_HD	B	B	B	B
MONO_PreG_d13	MONO_HD	B	B	B	B
MONO_PreG_d3	MONO_HD	B	B	B	B
MONO_PreG_d4	MONO_HD	B	B	B	B
MONO_PreG_d5	MONO_HD	B	B	B	B
MONO_PreG_d6	MONO_HD	B	B	B	B
MONO_PreG_d7	MONO_HD	B	B	B	B
MONO_PreG_d7bis	MONO_HD	B	B	B	B
MONO_hd2	MONO_HD	B	B	B	B
MONO_PreG_d16	MONO_HD	B	B	B	B
MONO_PostG_d11	MONO_PostGCSF	A	0	0	0
MONO_PostG_d13	MONO_PostGCSF	A	0	0	0
MONO_PostG_d14	MONO_PostGCSF	A	0	0	0
MONO_PostG_d4	MONO_PostGCSF	A	0	0	0
MONO_PostG_d5	MONO_PostGCSF	A	0	0	0
MONO_PostG_d6	MONO_PostGCSF	A	0	0	0
MONO_PostG_d7	MONO_PostGCSF	A	0	0	0
MONO_PostG_d8	MONO_PostGCSF	A	0	0	0
MONO_PostG_d9	MONO_PostGCSF	A	0	0	0
MONO_PostG_x5	MONO_PostGCSF	A	0	0	0
MONO_PostG_d3	MONO_PostGCSF	A	0	0	0
MONO_EE_r1	MONO_PostHSCT	0	A	0	0
MONO_EE_r11	MONO_PostHSCT	0	A	0	0
MONO_EE_r14	MONO_PostHSCT	0	A	0	0
MONO_EE_r3	MONO_PostHSCT	0	A	0	0
MONO_EE_r5	MONO_PostHSCT	0	A	0	0
MONO_EE_r7	MONO_PostHSCT	0	A	0	0
MONO_LE_r1	MONO_PostHSCT	0	A	0	0
MONO_LE_r11	MONO_PostHSCT	0	A	0	0
MONO_LE_r3	MONO_PostHSCT	0	A	0	0
MONO_LE_r5	MONO_PostHSCT	0	A	0	0
MONO_LE_r7	MONO_PostHSCT	0	A	0	0
MONO_PDAC_p1	MONO_PDAC	0	0	A	0
MONO_PDAC_p10	MONO_PDAC	0	0	A	0
MONO_PDAC_p13	MONO_PDAC	0	0	A	0
MONO_PDAC_p16	MONO_PDAC	0	0	A	0
MONO_PDAC_p18	MONO_PDAC	0	0	A	0
MONO_PDAC_p19	MONO_PDAC	0	0	A	0
MONO_PDAC_p2	MONO_PDAC	0	0	A	0
MONO_PDAC_p21	MONO_PDAC	0	0	A	0
MONO_PDAC_p5	MONO_PDAC	0	0	A	0
MONO_PDAC_p8	MONO_PDAC	0	0	A	0
MONO_PDAC_p28	MONO_PDAC	0	0	A	0
MONO_PDAC_p45	MONO_PDAC	0	0	A	0
MONO_SUR_p17	MONO_IPMN	0	0	0	A
MONO_RES_p6	MONO_IPMN	0	0	0	A
MONO_RES_p22	MONO_IPMN	0	0	0	A
MONO_RES_p25	MONO_IPMN	0	0	0	A
MONO_RES_p27	MONO_IPMN	0	0	0	A
MONO_RES_p29	MONO_IPMN	0	0	0	A
MONO_RES_p30	MONO_IPMN	0	0	0	A
MONO_RES_p33	MONO_IPMN	0	0	0	A
MONO_RES_p34	MONO_IPMN	0	0	0	A
MONO_RES_p43	MONO_IPMN	0	0	0	A
MONO_RES_p46	MONO_IPMN	0	0	0	A
MONO_SUR_p24	MONO_IPMN	0	0	0	A
MONO_SUR_p26	MONO_IPMN	0	0	0	A
