Samples	Type	Group1	Group2	Group3	Group4
HDN_PMN_PreG_d1	HDN_HD	B	B	B	B
HDN_PMN_PreG_d11	HDN_HD	B	B	B	B
HDN_PMN_PreG_d15	HDN_HD	B	B	B	B
HDN_PMN_PreG_d16	HDN_HD	B	B	B	B
HDN_PMN_PreG_d2	HDN_HD	B	B	B	B
HDN_PMN_PreG_d3	HDN_HD	B	B	B	B
HDN_PMN_PreG_d4	HDN_HD	B	B	B	B
HDN_PMN_PreG_d5	HDN_HD	B	B	B	B
HDN_PMN_PreG_d6	HDN_HD	B	B	B	B
HDN_PMN_PreG_d7	HDN_HD	B	B	B	B
HDN_PMN_PreG_d7bis	HDN_HD	B	B	B	B
HDN_PMN_PreG_d9	HDN_HD	B	B	B	B
HDN_PMN_d10	HDN_HD	B	B	B	B
HDN_hd1	HDN_HD	B	B	B	B
HDN_hd3	HDN_HD	B	B	B	B
HDN_PMN_PreG_d13	HDN_HD	B	B	B	B
HDN_PMN_PreG_d8bis	HDN_HD	B	B	B	B
HDN_PMN_PDAC_p28	HDN_PDAC	0	0	A	0
HDN_PMN_PDAC_p36	HDN_PDAC	0	0	A	0
HDN_PMN_PDAC_p37	HDN_PDAC	0	0	A	0
HDN_PMN_PDAC_p39	HDN_PDAC	0	0	A	0
HDN_PMN_PDAC_p45	HDN_PDAC	0	0	A	0
HDN_PMN_PDAC_p10	HDN_PDAC	0	0	A	0
HDN_PMN_PDAC_p16	HDN_PDAC	0	0	A	0
HDN_PMN_PDAC_p18	HDN_PDAC	0	0	A	0
HDN_PMN_PDAC_p19	HDN_PDAC	0	0	A	0
HDN_PMN_PDAC_p1	HDN_PDAC	0	0	A	0
HDN_PMN_PDAC_p21	HDN_PDAC	0	0	A	0
HDN_PMN_PDAC_p2	HDN_PDAC	0	0	A	0
HDN_PMN_PDAC_p5	HDN_PDAC	0	0	A	0
HDN_PMN_PDAC_p8	HDN_PDAC	0	0	A	0
HDN_PMN_PostG_d1	HDN_PostGCSF	A	0	0	0
HDN_PMN_PostG_d11	HDN_PostGCSF	A	0	0	0
HDN_PMN_PostG_d2	HDN_PostGCSF	A	0	0	0
HDN_PMN_PostG_d3	HDN_PostGCSF	A	0	0	0
HDN_PMN_PostG_d4	HDN_PostGCSF	A	0	0	0
HDN_PMN_PostG_d5	HDN_PostGCSF	A	0	0	0
HDN_PMN_PostG_d6	HDN_PostGCSF	A	0	0	0
HDN_PMN_PostG_d7	HDN_PostGCSF	A	0	0	0
HDN_PMN_PostG_d8	HDN_PostGCSF	A	0	0	0
HDN_PMN_PostG_d9	HDN_PostGCSF	A	0	0	0
HDN_PMN_PostG_x1	HDN_PostGCSF	A	0	0	0
HDN_PMN_PostG_x2	HDN_PostGCSF	A	0	0	0
HDN_PMN_PostG_x3	HDN_PostGCSF	A	0	0	0
HDN_PMN_PostG_x4	HDN_PostGCSF	A	0	0	0
HDN_PMN_PostG_x5	HDN_PostGCSF	A	0	0	0
HDN_PMN_PostG_d13	HDN_PostGCSF	A	0	0	0
HDN_PMN_PostG_d14	HDN_PostGCSF	A	0	0	0
HDN_PMN_EE_r3	HDN_postHSCT	0	A	0	0
HDN_PMN_EE_r5	HDN_postHSCT	0	A	0	0
HDN_PMN_EE_r5_BIS	HDN_postHSCT	0	A	0	0
HDN_PMN_EE_r7	HDN_postHSCT	0	A	0	0
HDN_PMN_LE_r1	HDN_postHSCT	0	A	0	0
HDN_PMN_LE_r3	HDN_postHSCT	0	A	0	0
HDN_PMN_LE_r4	HDN_postHSCT	0	A	0	0
HDN_PMN_LE_r5	HDN_postHSCT	0	A	0	0
HDN_PMN_LE_r7	HDN_postHSCT	0	A	0	0
HDN_PMN_EE_r11	HDN_postHSCT	0	A	0	0
HDN_PMN_LE_r13	HDN_postHSCT	0	A	0	0
HDN_PMN_RES_p22	HDN_IPMN	0	0	0	A
HDN_PMN_RES_p27	HDN_IPMN	0	0	0	A
HDN_PMN_RES_p29	HDN_IPMN	0	0	0	A
HDN_PMN_RES_p30	HDN_IPMN	0	0	0	A
HDN_PMN_RES_p33	HDN_IPMN	0	0	0	A
HDN_PMN_RES_p46	HDN_IPMN	0	0	0	A
HDN_PMN_SUR_p24	HDN_IPMN	0	0	0	A
HDN_PMN_SUR_p26	HDN_IPMN	0	0	0	A
HDN_PMN_RES_p14	HDN_IPMN	0	0	0	A
HDN_PMN_SUR_p17	HDN_IPMN	0	0	0	A
HDN_PMN_RES_p6	HDN_IPMN	0	0	0	A
