Original_name	Condition	Index1	Index4	Cell_Type
BM_LDN_MM_BC_180_r3	HSCT_180	LDN	NextS_NovaS1	BM_3
BM_LDN_MM_BC_180_r4	HSCT_180	LDN	NextS_NovaS1	BM_3
BM_LDN_MM_BC_LE_r1	HSCT_LE	LDN	NextS_NovaS1	BM_3
BM_LDN_MM_BC_LE_r3	HSCT_LE	LDN	NextS_NovaS1	BM_3
BM_LDN_MM_BC_LE_r5	HSCT_LE	LDN	NextS_NovaS1	BM_3
BM_LDN_MM_BC_LE_r7	HSCT_LE	LDN	NextS_NovaS1	BM_3
BM_LDN_MM_BC_d10	Steady state	LDN	NextS_NovaS1	BM_3
BM_LDN_MY_MM_LE_r1	HSCT_LE	LDN	NextS_NovaS1	BM_2
BM_LDN_MY_MM_d10	Steady state	LDN	NextS_NovaS1	BM_2
BM_LDN_PMN_180_r3	HSCT_180	LDN	NextS_NovaS1	BM_4
BM_LDN_PMN_LE_r1	HSCT_LE	LDN	NextS_NovaS1	BM_4
BM_LDN_PMN_LE_r3	HSCT_LE	LDN	NextS_NovaS1	BM_4
BM_LDN_PMN_LE_r5	HSCT_LE	LDN	NextS_NovaS1	BM_4
BM_LDN_PMN_LE_r7	HSCT_LE	LDN	NextS_NovaS1	BM_4
BM_LDN_PMN_d10	Steady state	LDN	NextS_NovaS1	BM_4
BM_LDN_PMN_d12	Steady state	LDN	NextS_NovaS1	BM_4
BM_LDN_PM_MY_LE_r1	HSCT_LE	LDN	NextS_NovaS1	BM_1
BM_LDN_PM_MY_LE_r3	HSCT_LE	LDN	NextS_NovaS1	BM_1
BM_LDN_PM_MY_LE_r5	HSCT_LE	LDN	NextS_NovaS1	BM_1
BM_LDN_PM_MY_LE_r7	HSCT_LE	LDN	NextS_NovaS1	BM_1
BM_LDN_PM_MY_d10	Steady state	LDN	NextS_NovaS1	BM_1
BM_LDN_PM_MY_d12	Steady state	LDN	NextS_NovaS1	BM_1
BM_MM_BC_d14	Steady state	LDN	NovaS2	BM_3
BM_MONO_180_r3	HSCT_180	MONO	NextS_NovaS1	Monocyte
BM_MONO_180_r4	HSCT_180	MONO	NextS_NovaS1	Monocyte
BM_MONO_LE_r3	HSCT_LE	MONO	NextS_NovaS1	Monocyte
BM_MONO_LE_r5	HSCT_LE	MONO	NextS_NovaS1	Monocyte
BM_MONO_LE_r7	HSCT_LE	MONO	NextS_NovaS1	Monocyte
BM_MONO_d10	Steady state	MONO	NextS_NovaS1	Monocyte
BM_MONO_d12	Steady state	MONO	NextS_NovaS1	Monocyte
BM_MY_MM_d14	Steady state	LDN	NovaS2	BM_2
BM_PMN_d14	Steady state	HDN	NovaS2	BM_4
BM_PM_MY_d14	Steady state	LDN	NovaS2	BM_1
HDN_PMN_180_r3	HSCT_180	HDN	NextS_NovaS1	HDN
HDN_PMN_180_r4	HSCT_180	HDN	NextS_NovaS1	HDN
HDN_PMN_EE_r3	HSCT_EE	HDN	NextS_NovaS1	HDN
HDN_PMN_EE_r5	HSCT_EE	HDN	NextS_NovaS1	HDN
HDN_PMN_EE_r5_BIS	HSCT_EE	HDN	NextS_NovaS1	HDN
HDN_PMN_EE_r7	HSCT_EE	HDN	NextS_NovaS1	HDN
HDN_PMN_LE_r1	HSCT_LE	HDN	NextS_NovaS1	HDN
HDN_PMN_LE_r3	HSCT_LE	HDN	NextS_NovaS1	HDN
HDN_PMN_LE_r4	HSCT_LE	HDN	NextS_NovaS1	HDN
HDN_PMN_LE_r5	HSCT_LE	HDN	NextS_NovaS1	HDN
HDN_PMN_LE_r7	HSCT_LE	HDN	NextS_NovaS1	HDN
HDN_PMN_PDAC_p28	PDAC	HDN	NovaS2	HDN
HDN_PMN_PDAC_p36	PDAC	HDN	NovaS2	HDN
HDN_PMN_PDAC_p37	PDAC	HDN	NovaS2	HDN
HDN_PMN_PDAC_p39	PDAC	HDN	NovaS2	HDN
HDN_PMN_PDAC_p45	PDAC	HDN	NovaS2	HDN
HDN_PMN_PostG_d1	G-CSF	HDN	NextS_NovaS1	HDN
HDN_PMN_PostG_d11	G-CSF	HDN	NextS_NovaS1	HDN
HDN_PMN_PostG_d2	G-CSF	HDN	NextS_NovaS1	HDN
HDN_PMN_PostG_d3	G-CSF	HDN	NextS_NovaS1	HDN
HDN_PMN_PostG_d4	G-CSF	HDN	NextS_NovaS1	HDN
HDN_PMN_PostG_d5	G-CSF	HDN	NextS_NovaS1	HDN
HDN_PMN_PostG_d6	G-CSF	HDN	NextS_NovaS1	HDN
HDN_PMN_PostG_d7	G-CSF	HDN	NextS_NovaS1	HDN
HDN_PMN_PostG_d8	G-CSF	HDN	NextS_NovaS1	HDN
HDN_PMN_PostG_d9	G-CSF	HDN	NextS_NovaS1	HDN
HDN_PMN_PostG_x1	G-CSF	HDN	NextS_NovaS1	HDN
HDN_PMN_PostG_x2	G-CSF	HDN	NextS_NovaS1	HDN
HDN_PMN_PostG_x3	G-CSF	HDN	NextS_NovaS1	HDN
HDN_PMN_PreG_d1	Steady state	HDN	NextS_NovaS1	HDN
HDN_PMN_PreG_d11	Steady state	HDN	NextS_NovaS1	HDN
HDN_PMN_PreG_d15	Steady state	HDN	NovaS2	HDN
HDN_PMN_PreG_d16	Steady state	HDN	NovaS2	HDN
HDN_PMN_PreG_d2	Steady state	HDN	NextS_NovaS1	HDN
HDN_PMN_PreG_d3	Steady state	HDN	NextS_NovaS1	HDN
HDN_PMN_PreG_d4	Steady state	HDN	NextS_NovaS1	HDN
HDN_PMN_PreG_d5	Steady state	HDN	NextS_NovaS1	HDN
HDN_PMN_PreG_d6	Steady state	HDN	NextS_NovaS1	HDN
HDN_PMN_PreG_d7	Steady state	HDN	NextS_NovaS1	HDN
HDN_PMN_PreG_d7bis	Steady state	HDN	NextS_NovaS1	HDN
HDN_PMN_PreG_d9	Steady state	HDN	NextS_NovaS1	HDN
HDN_PMN_RES_p22	IPMN	HDN	NovaS2	HDN
HDN_PMN_RES_p27	IPMN	HDN	NovaS2	HDN
HDN_PMN_RES_p29	IPMN	HDN	NovaS2	HDN
HDN_PMN_RES_p30	IPMN	HDN	NovaS2	HDN
HDN_PMN_RES_p33	IPMN	HDN	NovaS2	HDN
HDN_PMN_RES_p46	IPMN	HDN	NovaS2	HDN
HDN_PMN_SUR_p24	IPMN	HDN	NovaS2	HDN
HDN_PMN_SUR_p26	IPMN	HDN	NovaS2	HDN
HDN_PMN_d10	Steady state	HDN	NextS_NovaS1	HDN
HDN_hd1	Steady state	HDN	NextS_NovaS1	HDN
HDN_hd3	Steady state	HDN	NextS_NovaS1	HDN
HDN_hd4	Steady state	HDN	NextS_NovaS1	HDN
LDN_PDAC_p10	PDAC	LDN	NextS_NovaS1	LDN
HDN_PMN_PDAC_p10	PDAC	HDN	NextS_NovaS1	HDN
MONO_PDAC_p13	PDAC	MONO	NextS_NovaS1	Monocyte
LDN_PDAC_p13	PDAC	LDN	NextS_NovaS1	LDN
LDN_RES_p14	IPMN	LDN	NextS_NovaS1	LDN
HDN_PMN_RES_p14	IPMN	HDN	NextS_NovaS1	HDN
MONO_PDAC_p16	PDAC	MONO	NextS_NovaS1	Monocyte
HDN_PMN_PDAC_p16	PDAC	HDN	NextS_NovaS1	HDN
MONO_SUR_p17	IPMN	MONO	NextS_NovaS1	Monocyte
HDN_PMN_SUR_p17	IPMN	HDN	NextS_NovaS1	HDN
MONO_PDAC_p18	PDAC	MONO	NextS_NovaS1	Monocyte
LDN_PDAC_p18	PDAC	LDN	NextS_NovaS1	LDN
HDN_PMN_PDAC_p18	PDAC	HDN	NextS_NovaS1	HDN
MONO_PDAC_p19	PDAC	MONO	NextS_NovaS1	Monocyte
LDN_PDAC_p19	PDAC	LDN	NextS_NovaS1	LDN
HDN_PMN_PDAC_p19	PDAC	HDN	NextS_NovaS1	HDN
MONO_PDAC_p1	PDAC	MONO	NextS_NovaS1	Monocyte
LDN_PDAC_p1	PDAC	LDN	NextS_NovaS1	LDN
HDN_PMN_PDAC_p1	PDAC	HDN	NextS_NovaS1	HDN
