Original_name	Index1	Index4
HDN_PMN_PreG_d1	HDN	NextS_NovaS1
HDN_PMN_PreG_d11	HDN	NextS_NovaS1
HDN_PMN_PreG_d15	HDN	NovaS2
HDN_PMN_PreG_d16	HDN	NovaS2
HDN_PMN_PreG_d2	HDN	NextS_NovaS1
HDN_PMN_PreG_d3	HDN	NextS_NovaS1
HDN_PMN_PreG_d4	HDN	NextS_NovaS1
HDN_PMN_PreG_d5	HDN	NextS_NovaS1
HDN_PMN_PreG_d6	HDN	NextS_NovaS1
HDN_PMN_PreG_d7	HDN	NextS_NovaS1
HDN_PMN_PreG_d7bis	HDN	NextS_NovaS1
HDN_PMN_PreG_d9	HDN	NextS_NovaS1
HDN_PMN_d10	HDN	NextS_NovaS1
HDN_hd1	HDN	NextS_NovaS1
HDN_hd3	HDN	NextS_NovaS1
HDN_PMN_PreG_d13	HDN	NextS_NovaS1
HDN_PMN_PreG_d8bis	HDN	NextS_NovaS1
HDN_PMN_PDAC_p28	HDN	NovaS2
HDN_PMN_PDAC_p36	HDN	NovaS2
HDN_PMN_PDAC_p37	HDN	NovaS2
HDN_PMN_PDAC_p39	HDN	NovaS2
HDN_PMN_PDAC_p45	HDN	NovaS2
HDN_PMN_PDAC_p10	HDN	NextS_NovaS1
HDN_PMN_PDAC_p16	HDN	NextS_NovaS1
HDN_PMN_PDAC_p18	HDN	NextS_NovaS1
HDN_PMN_PDAC_p19	HDN	NextS_NovaS1
HDN_PMN_PDAC_p1	HDN	NextS_NovaS1
HDN_PMN_PDAC_p21	HDN	NextS_NovaS1
HDN_PMN_PDAC_p2	HDN	NextS_NovaS1
HDN_PMN_PDAC_p5	HDN	NextS_NovaS1
HDN_PMN_PDAC_p8	HDN	NextS_NovaS1
HDN_PMN_PostG_d1	HDN	NextS_NovaS1
HDN_PMN_PostG_d11	HDN	NextS_NovaS1
HDN_PMN_PostG_d2	HDN	NextS_NovaS1
HDN_PMN_PostG_d3	HDN	NextS_NovaS1
HDN_PMN_PostG_d4	HDN	NextS_NovaS1
HDN_PMN_PostG_d5	HDN	NextS_NovaS1
HDN_PMN_PostG_d6	HDN	NextS_NovaS1
HDN_PMN_PostG_d7	HDN	NextS_NovaS1
HDN_PMN_PostG_d8	HDN	NextS_NovaS1
HDN_PMN_PostG_d9	HDN	NextS_NovaS1
HDN_PMN_PostG_x1	HDN	NextS_NovaS1
HDN_PMN_PostG_x2	HDN	NextS_NovaS1
HDN_PMN_PostG_x3	HDN	NextS_NovaS1
HDN_PMN_PostG_x4	HDN	NextS_NovaS1
HDN_PMN_PostG_x5	HDN	NextS_NovaS1
HDN_PMN_PostG_d13	HDN	NextS_NovaS1
HDN_PMN_PostG_d14	HDN	NextS_NovaS1
HDN_PMN_EE_r3	HDN	NextS_NovaS1
HDN_PMN_EE_r5	HDN	NextS_NovaS1
HDN_PMN_EE_r5_BIS	HDN	NextS_NovaS1
HDN_PMN_EE_r7	HDN	NextS_NovaS1
HDN_PMN_LE_r1	HDN	NextS_NovaS1
HDN_PMN_LE_r3	HDN	NextS_NovaS1
HDN_PMN_LE_r4	HDN	NextS_NovaS1
HDN_PMN_LE_r5	HDN	NextS_NovaS1
HDN_PMN_LE_r7	HDN	NextS_NovaS1
HDN_PMN_EE_r11	HDN	NextS_NovaS1
HDN_PMN_LE_r13	HDN	NextS_NovaS1
HDN_PMN_RES_p22	HDN	NovaS2
HDN_PMN_RES_p27	HDN	NovaS2
HDN_PMN_RES_p29	HDN	NovaS2
HDN_PMN_RES_p30	HDN	NovaS2
HDN_PMN_RES_p33	HDN	NovaS2
HDN_PMN_RES_p46	HDN	NovaS2
HDN_PMN_SUR_p24	HDN	NovaS2
HDN_PMN_SUR_p26	HDN	NovaS2
HDN_PMN_RES_p14	HDN	NextS_NovaS1
HDN_PMN_SUR_p17	HDN	NextS_NovaS1
HDN_PMN_RES_p6	HDN	NextS_NovaS1
MONO_PreG_d1	MONO	NextS_NovaS1
MONO_PreG_d11	MONO	NextS_NovaS1
MONO_PreG_d13	MONO	NextS_NovaS1
MONO_PreG_d3	MONO	NextS_NovaS1
MONO_PreG_d4	MONO	NextS_NovaS1
MONO_PreG_d5	MONO	NextS_NovaS1
MONO_PreG_d6	MONO	NextS_NovaS1
MONO_PreG_d7	MONO	NextS_NovaS1
MONO_PreG_d7bis	MONO	NextS_NovaS1
MONO_hd2	MONO	NextS_NovaS1
MONO_PreG_d16	MONO	NovaS2
MONO_PostG_d11	MONO	NextS_NovaS1
MONO_PostG_d13	MONO	NextS_NovaS1
MONO_PostG_d14	MONO	NextS_NovaS1
MONO_PostG_d4	MONO	NextS_NovaS1
MONO_PostG_d5	MONO	NextS_NovaS1
MONO_PostG_d6	MONO	NextS_NovaS1
MONO_PostG_d7	MONO	NextS_NovaS1
MONO_PostG_d8	MONO	NextS_NovaS1
MONO_PostG_d9	MONO	NextS_NovaS1
MONO_PostG_x5	MONO	NextS_NovaS1
MONO_PostG_d3	MONO	NextS_NovaS1
MONO_EE_r1	MONO	NextS_NovaS1
MONO_EE_r11	MONO	NextS_NovaS1
MONO_EE_r3	MONO	NextS_NovaS1
MONO_EE_r5	MONO	NextS_NovaS1
MONO_EE_r7	MONO	NextS_NovaS1
MONO_LE_r1	MONO	NextS_NovaS1
MONO_LE_r11	MONO	NextS_NovaS1
MONO_LE_r3	MONO	NextS_NovaS1
MONO_LE_r5	MONO	NextS_NovaS1
MONO_LE_r7	MONO	NextS_NovaS1
MONO_EE_r14	MONO	NovaS2
MONO_PDAC_p1	MONO	NextS_NovaS1
MONO_PDAC_p10	MONO	NextS_NovaS1
MONO_PDAC_p13	MONO	NextS_NovaS1
MONO_PDAC_p16	MONO	NextS_NovaS1
MONO_PDAC_p18	MONO	NextS_NovaS1
MONO_PDAC_p19	MONO	NextS_NovaS1
MONO_PDAC_p2	MONO	NextS_NovaS1
MONO_PDAC_p21	MONO	NextS_NovaS1
MONO_PDAC_p5	MONO	NextS_NovaS1
MONO_PDAC_p8	MONO	NextS_NovaS1
MONO_PDAC_p28	MONO	NovaS2
MONO_PDAC_p45	MONO	NovaS2
MONO_SUR_p17	MONO	NextS_NovaS1
MONO_RES_p6	MONO	NextS_NovaS1
MONO_RES_p22	MONO	NovaS2
MONO_RES_p25	MONO	NovaS2
MONO_RES_p27	MONO	NovaS2
MONO_RES_p29	MONO	NovaS2
MONO_RES_p30	MONO	NovaS2
MONO_RES_p33	MONO	NovaS2
MONO_RES_p34	MONO	NovaS2
MONO_RES_p43	MONO	NovaS2
MONO_RES_p46	MONO	NovaS2
MONO_SUR_p24	MONO	NovaS2
MONO_SUR_p26	MONO	NovaS2
